"cod_municipio","municipio","estado","valor"
1712702,Mateiros,TO,49000
3138807,Luz,MG,4500
3523909,Itu,SP,400
3532900,Nova Europa,SP,800
4210050,Macieira,SC,100
4310504,Iraí,RS,6000
5210562,Itaguari,GO,270
5210604,Itaguaru,GO,150
5210802,Itajá,GO,125
5210901,Itapaci,GO,1520
5211008,Itapirapuã,GO,4100
5211206,Itapuranga,GO,450
5211305,Itarumã,GO,4000
5211404,Itauçu,GO,750
5211503,Itumbiara,GO,34500
5211602,Ivolândia,GO,2500
5211701,Jandaia,GO,11000
5211800,Jaraguá,GO,6300
5211909,Jataí,GO,290000
5212006,Jaupaci,GO,2800
5212055,Jesúpolis,GO,360
5212105,Joviânia,GO,21800
5212204,Jussara,GO,7500
5212501,Luziânia,GO,65000
1100015,Alta Floresta D'Oeste,RO,1072
1100023,Ariquemes,RO,6979
1100031,Cabixi,RO,27705
1100049,Cacoal,RO,2160
1100056,Cerejeiras,RO,36430
1100064,Colorado do Oeste,RO,3050
1100072,Corumbiara,RO,51250
1100080,Costa Marques,RO,200
1100098,Espigão D'Oeste,RO,1130
1100114,Jaru,RO,28
1100130,Machadinho D'Oeste,RO,14209
1100148,Nova Brasilândia D'Oeste,RO,996
1100189,Pimenta Bueno,RO,2108
1100205,Porto Velho,RO,13100
1100262,Rio Crespo,RO,26410
1100288,Rolim de Moura,RO,5000
1100296,Santa Luzia D'Oeste,RO,4439
1100304,Vilhena,RO,43000
1100320,São Miguel do Guaporé,RO,15000
1100338,Nova Mamoré,RO,3200
1100346,Alvorada D'Oeste,RO,600
1100379,Alto Alegre dos Parecis,RO,785
1100403,Alto Paraíso,RO,19096
1100452,Buritis,RO,220
1100502,Novo Horizonte do Oeste,RO,1594
1100700,Campo Novo de Rondônia,RO,240
1100809,Candeias do Jamari,RO,1200
1100908,Castanheiras,RO,3861
1100924,Chupinguaia,RO,37000
1100940,Cujubim,RO,19868
1101104,Itapuã do Oeste,RO,3370
1101450,Parecis,RO,1570
1101468,Pimenteiras do Oeste,RO,44100
1101476,Primavera de Rondônia,RO,50
1101484,São Felipe D'Oeste,RO,1392
1101492,São Francisco do Guaporé,RO,1800
1101500,Seringueiras,RO,3337
1101609,Theobroma,RO,833
1101757,Vale do Anari,RO,2077
1200179,Capixaba,AC,1155
1200252,Epitaciolândia,AC,70
1200385,Plácido de Castro,AC,3000
1200401,Rio Branco,AC,1360
1200450,Senador Guiomard,AC,400
1200708,Xapuri,AC,200
1301704,Humaitá,AM,3000
1400050,Alto Alegre,RR,25000
1400100,Boa Vista,RR,6800
1400159,Bonfim,RR,22000
1400175,Cantá,RR,700
1400282,Iracema,RR,2277
1400308,Mucajaí,RR,500
1500131,Abel Figueiredo,PA,5600
1500347,Água Azul do Norte,PA,600
1500602,Altamira,PA,14000
1501451,Belterra,PA,23000
1501758,Brejo Grande do Araguaia,PA,500
1502707,Conceição do Araguaia,PA,7111
1502764,Cumaru do Norte,PA,11668
1502939,Dom Eliseu,PA,101500
1503044,Floresta do Araguaia,PA,8166
1503457,Ipixuna do Pará,PA,6695
1504208,Marabá,PA,525
1504752,Mojuí dos Campos,PA,46000
1505031,Novo Progresso,PA,20000
1505502,Paragominas,PA,179600
1505536,Parauapebas,PA,600
1505551,Pau D'Arco,PA,449
1505650,Placas,PA,800
1506138,Redenção,PA,9193
1506161,Rio Maria,PA,500
1506187,Rondon do Pará,PA,47000
1506195,Rurópolis,PA,680
1506583,Santa Maria das Barreiras,PA,57492
1506708,Santana do Araguaia,PA,107000
1506807,Santarém,PA,30000
1507300,São Félix do Xingu,PA,3128
1507508,São João do Araguaia,PA,392
1507953,Tailândia,PA,17500
1508050,Trairão,PA,2100
1508084,Tucumã,PA,420
1508126,Ulianópolis,PA,51232
1508159,Uruará,PA,230
1508407,Xinguara,PA,100
1600238,Ferreira Gomes,AP,320
1600253,Itaubal,AP,1520
1600303,Macapá,AP,2820
1600535,Porto Grande,AP,430
1600709,Tartarugalzinho,AP,1625
1700251,Abreulândia,TO,8449
1700350,Aliança do Tocantins,TO,7170
1700400,Almas,TO,10016
1700707,Alvorada,TO,32000
1701002,Ananás,TO,600
1701101,Aparecida do Rio Negro,TO,30000
1701309,Aragominas,TO,400
1701903,Araguacema,TO,21500
1702000,Araguaçu,TO,14393
1702109,Araguaína,TO,7064
1702307,Arapoema,TO,540
1703008,Babaçulândia,TO,2200
1703073,Barra do Ouro,TO,10065
1703206,Bernardo Sayão,TO,1027
1703305,Bom Jesus do Tocantins,TO,14313
1703701,Brejinho de Nazaré,TO,24200
1703842,Campos Lindos,TO,101400
1703867,Cariri do Tocantins,TO,16207
1703909,Caseara,TO,48248
1704105,Centenário,TO,4150
1704600,Chapada de Areia,TO,817
1705102,Chapada da Natividade,TO,12400
1706001,Couto Magalhães,TO,12000
1706100,Cristalândia,TO,4065
1706258,Crixás do Tocantins,TO,5390
1706506,Darcinópolis,TO,9000
1707009,Dianópolis,TO,18308
1707108,Divinópolis do Tocantins,TO,16002
1707207,Dois Irmãos do Tocantins,TO,4000
1707306,Dueré,TO,2063
1707553,Fátima,TO,2350
1707652,Figueirópolis,TO,20210
1708205,Formoso do Araguaia,TO,4214
1708254,Tabocão,TO,4002
1708304,Goianorte,TO,11000
1709005,Goiatins,TO,14500
1709302,Guaraí,TO,12183
1709500,Gurupi,TO,15055
1709807,Ipueiras,TO,2850
1710508,Itacajá,TO,13000
1710904,Itapiratins,TO,14965
1711506,Jaú do Tocantins,TO,816
1711803,Juarina,TO,570
1711902,Lagoa da Confusão,TO,46711
1711951,Lagoa do Tocantins,TO,3000
1712405,Lizarda,TO,2000
1712454,Luzinópolis,TO,400
1712504,Marianópolis do Tocantins,TO,21347
1713205,Miracema do Tocantins,TO,10250
1713304,Miranorte,TO,12012
1713601,Monte do Carmo,TO,36500
1713700,Monte Santo do Tocantins,TO,2480
1713809,Palmeiras do Tocantins,TO,300
1713957,Muricilândia,TO,800
1714203,Natividade,TO,3000
1714880,Nova Olinda,TO,370
1715002,Nova Rosalândia,TO,7501
1715101,Novo Acordo,TO,5743
1715259,Novo Jardim,TO,180
1715507,Oliveira de Fátima,TO,1800
1715705,Palmeirante,TO,11133
1715754,Palmeirópolis,TO,3527
1716109,Paraíso do Tocantins,TO,1276
1716505,Pedro Afonso,TO,74000
1716604,Peixe,TO,57694
1716653,Pequizeiro,TO,1100
1717008,Pindorama do Tocantins,TO,3100
1717206,Piraquê,TO,5050
1717503,Pium,TO,23933
1718006,Porto Alegre do Tocantins,TO,1045
1718204,Porto Nacional,TO,46000
1718451,Pugmil,TO,3850
1718709,Rio dos Bois,TO,6730
1718758,Rio Sono,TO,4070
1718840,Sandolândia,TO,608
1718865,Santa Fé do Araguaia,TO,10923
1718881,Santa Maria do Tocantins,TO,9863
1718899,Santa Rita do Tocantins,TO,16500
1718907,Santa Rosa do Tocantins,TO,37800
1720499,São Valério,TO,15732
1720655,Silvanópolis,TO,24500
1720853,Sucupira,TO,15293
1720903,Taguatinga,TO,200
1720978,Talismã,TO,13377
1721000,Palmas,TO,14060
1721109,Tocantínia,TO,3278
1721257,Tupirama,TO,8520
1722081,Wanderlândia,TO,550
1722107,Xambioá,TO,500
2100055,Açailândia,MA,62614
2100105,Afonso Cunha,MA,9600
2100303,Aldeias Altas,MA,550
2100477,Alto Alegre do Pindaré,MA,338
2100501,Alto Parnaíba,MA,55658
2100808,Anapurus,MA,7800
2101400,Balsas,MA,199054
2101608,Barra do Corda,MA,300
2101806,Benedito Leite,MA,4000
